Scene Triangle Report - CarScene
Generated: 2026-04-10 16:01:31
Total Triangles: 54,695
Renderable Objects: 79
Unique Mesh Assets: 6

Top 20 Objects
Triangles	Type	Active	Enabled	Mesh	Object Path
11166	MeshFilter	True	True	Object_1	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_5
4743	MeshFilter	True	True	Object_0	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_4
3082	MeshFilter	True	True	Object_52	Car_reduced/root/GLTF_SceneRootNode/hood_8/Object_64
2692	MeshFilter	True	True	Object_26	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_31
2692	MeshFilter	True	True	Object_46	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_57
2512	MeshFilter	True	True	Object_2	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_6
1290	MeshFilter	True	True	Object_13	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_17
1282	MeshFilter	True	True	Object_16	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_20
988	MeshFilter	True	True	Object_38	Car_reduced/root/GLTF_SceneRootNode/wheel2_3/Object_45
988	MeshFilter	True	True	Object_40	Car_reduced/root/GLTF_SceneRootNode/wheel3_4/Object_48
988	MeshFilter	True	True	Object_44	Car_reduced/root/GLTF_SceneRootNode/wheel4_6/Object_54
988	MeshFilter	True	True	Object_42	Car_reduced/root/GLTF_SceneRootNode/wheel_5/Object_51
888	MeshFilter	True	True	Object_17	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_21
848	MeshFilter	True	True	Object_39	Car_reduced/root/GLTF_SceneRootNode/wheel3_4/Object_47
848	MeshFilter	True	True	Object_43	Car_reduced/root/GLTF_SceneRootNode/wheel4_6/Object_53
842	MeshFilter	True	True	Object_37	Car_reduced/root/GLTF_SceneRootNode/wheel2_3/Object_44
842	MeshFilter	True	True	Object_41	Car_reduced/root/GLTF_SceneRootNode/wheel_5/Object_50
812	MeshFilter	True	True	Object_20	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_24
768	MeshFilter	True	True	Object_10	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_14
766	MeshFilter	True	True	Object_8	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_12

All Objects
Triangles	Type	Active	Enabled	Mesh	Object Path
11166	MeshFilter	True	True	Object_1	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_5
4743	MeshFilter	True	True	Object_0	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_4
